Feature,Correlation Coefficient
sub_avg_price,0.6095927320463677
sub_max_price,0.4758873240897957
lon,0.4491950497030386
bedrooms,0.36026083237142936
sub_min_price,0.3205798467468083
sub_total_sales,0.28142911215566035
lat,0.01922673741711755
sub_house_count,0.009644235820466482
sub_avg_bedrooms,-0.07412782801753967
distance_from_cbd_km,-0.41657611064894395
